[    9]   fixation ->    saccade (ibdt:108)
[  697]    saccade ->   fixation (ibdt:108)
[  698]    saccade ->   fixation (ibdt:108)
[  704]    saccade ->   fixation (ibdt:108)
[  705]    saccade ->   fixation (ibdt:108)
[  706]    saccade ->   fixation (ibdt:108)
[  836]    saccade ->   fixation (ibdt:108)
[  837]    saccade ->   fixation (ibdt:108)
[  838]    saccade ->   fixation (ibdt:108)
[  851]    saccade ->   fixation (ibdt:108)
[  852]    saccade ->   fixation (ibdt:108)
[  920]    saccade ->   fixation (ibdt:108)
[  921]    saccade ->   fixation (ibdt:108)
[  937]    saccade ->   fixation (ibdt:108)
[  938]    saccade ->   fixation (ibdt:108)
[  939]    saccade ->   fixation (ibdt:108)
[  940]    saccade ->   fixation (ibdt:108)
[  941]    saccade ->   fixation (ibdt:108)
[  942]    saccade ->   fixation (ibdt:108)
[  994]    saccade ->   fixation (ibdt:108)
[  995]    saccade ->   fixation (ibdt:108)
[  996]    saccade ->   fixation (ibdt:108)
[ 1002]    saccade ->   fixation (ibdt:108)
[ 1004]    saccade ->   fixation (ibdt:108)
[ 1005]    saccade ->   fixation (ibdt:108)
[ 1006]    saccade ->   fixation (ibdt:108)
[ 1007]    pursuit ->   fixation (ibdt:108)
[ 1008]    pursuit ->   fixation (ibdt:108)
[ 1009]    pursuit ->   fixation (ibdt:108)
[ 1010]    pursuit ->   fixation (ibdt:108)
[ 1011]    pursuit ->   fixation (ibdt:108)
[ 1012]    pursuit ->   fixation (ibdt:108)
[ 1013]    pursuit ->   fixation (ibdt:108)
[ 1014]    pursuit ->   fixation (ibdt:108)
[ 1015]    pursuit ->   fixation (ibdt:108)
[ 1016]    pursuit ->   fixation (ibdt:108)
[ 1017]    pursuit ->   fixation (ibdt:108)
[ 1018]    pursuit ->   fixation (ibdt:108)
[ 1019]    pursuit ->   fixation (ibdt:108)
[ 1020]    pursuit ->   fixation (ibdt:108)
[ 1021]    pursuit ->   fixation (ibdt:108)
[ 1022]    pursuit ->   fixation (ibdt:108)
[ 1023]    pursuit ->   fixation (ibdt:108)
[ 1024]    pursuit ->   fixation (ibdt:108)
[ 1025]    pursuit ->   fixation (ibdt:108)
[ 1026]    pursuit ->   fixation (ibdt:108)
[ 1027]    pursuit ->   fixation (ibdt:108)
[ 1028]    pursuit ->   fixation (ibdt:108)
[ 1029]    pursuit ->   fixation (ibdt:108)
[ 1030]    pursuit ->   fixation (ibdt:108)
[ 1031]    pursuit ->   fixation (ibdt:108)
[ 1032]    pursuit ->   fixation (ibdt:108)
[ 1033]    pursuit ->   fixation (ibdt:108)
[ 1034]    pursuit ->   fixation (ibdt:108)
[ 1109]    pursuit ->   fixation (ibdt:108)
[ 1110]    pursuit ->   fixation (ibdt:108)
[ 1111]    pursuit ->   fixation (ibdt:108)
[ 1112]    pursuit ->   fixation (ibdt:108)
[ 1113]    pursuit ->   fixation (ibdt:108)
[ 1114]    pursuit ->   fixation (ibdt:108)
[ 1115]    pursuit ->   fixation (ibdt:108)
[ 1116]    pursuit ->   fixation (ibdt:108)
[ 1117]    pursuit ->   fixation (ibdt:108)
[ 1118]    pursuit ->   fixation (ibdt:108)
[ 1119]    pursuit ->   fixation (ibdt:108)
[ 1120]    pursuit ->   fixation (ibdt:108)
[ 1121]    pursuit ->   fixation (ibdt:108)
[ 1122]    pursuit ->   fixation (ibdt:108)
[ 1123]    pursuit ->   fixation (ibdt:108)
[ 1124]    pursuit ->   fixation (ibdt:108)
[ 1125]    pursuit ->   fixation (ibdt:108)
[ 1126]    pursuit ->   fixation (ibdt:108)
[ 1127]    pursuit ->   fixation (ibdt:108)
[ 1128]    pursuit ->   fixation (ibdt:108)
[ 1129]    pursuit ->   fixation (ibdt:108)
[ 1130]    pursuit ->   fixation (ibdt:108)
[ 1131]    pursuit ->   fixation (ibdt:108)
[ 1132]    pursuit ->   fixation (ibdt:108)
[ 1133]    pursuit ->   fixation (ibdt:108)
[ 1134]    pursuit ->   fixation (ibdt:108)
[ 1135]    pursuit ->   fixation (ibdt:108)
[ 1136]    pursuit ->   fixation (ibdt:108)
[ 1137]    pursuit ->   fixation (ibdt:108)
[ 1138]    pursuit ->   fixation (ibdt:108)
[ 1139]    pursuit ->   fixation (ibdt:108)
[ 1140]    pursuit ->   fixation (ibdt:108)
[ 1141]    pursuit ->   fixation (ibdt:108)
[ 1142]    pursuit ->   fixation (ibdt:108)
[ 1143]    pursuit ->   fixation (ibdt:108)
[ 1144]    pursuit ->   fixation (ibdt:108)
[ 1145]    pursuit ->   fixation (ibdt:108)
[ 1146]    pursuit ->   fixation (ibdt:108)
[ 1147]    pursuit ->   fixation (ibdt:108)
[ 1148]    pursuit ->   fixation (ibdt:108)
[ 1149]    pursuit ->   fixation (ibdt:108)
[ 1150]    pursuit ->   fixation (ibdt:108)
[ 1151]    pursuit ->   fixation (ibdt:108)
[ 1152]    pursuit ->   fixation (ibdt:108)
[ 1153]    pursuit ->   fixation (ibdt:108)
[ 1154]    pursuit ->   fixation (ibdt:108)
[ 1155]    pursuit ->   fixation (ibdt:108)
[ 1156]    pursuit ->   fixation (ibdt:108)
[ 1157]    pursuit ->   fixation (ibdt:108)
[ 1158]    pursuit ->   fixation (ibdt:108)
[ 1159]    pursuit ->   fixation (ibdt:108)
[ 1160]    pursuit ->   fixation (ibdt:108)
[ 1161]    pursuit ->   fixation (ibdt:108)
[ 1162]    pursuit ->   fixation (ibdt:108)
[ 1163]    pursuit ->   fixation (ibdt:108)
[ 1164]    pursuit ->   fixation (ibdt:108)
[ 1165]    pursuit ->   fixation (ibdt:108)
[ 1166]    pursuit ->   fixation (ibdt:108)
[ 1167]    pursuit ->   fixation (ibdt:108)
[ 1168]    pursuit ->   fixation (ibdt:108)
[ 1169]    pursuit ->   fixation (ibdt:108)
[ 1170]    pursuit ->   fixation (ibdt:108)
[ 1171]    pursuit ->   fixation (ibdt:108)
[ 1172]    pursuit ->   fixation (ibdt:108)
[ 1173]    pursuit ->   fixation (ibdt:108)
[ 1174]    pursuit ->   fixation (ibdt:108)
[ 1175]    pursuit ->   fixation (ibdt:108)
[ 1176]    pursuit ->   fixation (ibdt:108)
[ 1177]    pursuit ->   fixation (ibdt:108)
[ 1178]    pursuit ->   fixation (ibdt:108)
[ 1179]    pursuit ->   fixation (ibdt:108)
[ 1180]    pursuit ->   fixation (ibdt:108)
[ 1181]    pursuit ->   fixation (ibdt:108)
[ 1182]    pursuit ->   fixation (ibdt:108)
[ 1183]    pursuit ->   fixation (ibdt:108)
[ 1184]    pursuit ->   fixation (ibdt:108)
[ 1185]    pursuit ->   fixation (ibdt:108)
[ 1186]    pursuit ->   fixation (ibdt:108)
[ 1187]    pursuit ->   fixation (ibdt:108)
[ 1188]    pursuit ->   fixation (ibdt:108)
[ 1189]    pursuit ->   fixation (ibdt:108)
[ 1190]    pursuit ->   fixation (ibdt:108)
[ 1191]    pursuit ->   fixation (ibdt:108)
[ 1192]    pursuit ->   fixation (ibdt:108)
[ 1193]    pursuit ->   fixation (ibdt:108)
[ 1194]    pursuit ->   fixation (ibdt:108)
[ 1195]    pursuit ->   fixation (ibdt:108)
[ 1196]    pursuit ->   fixation (ibdt:108)
[ 1197]    pursuit ->   fixation (ibdt:108)
[ 1198]    pursuit ->   fixation (ibdt:108)
[ 1199]    pursuit ->   fixation (ibdt:108)
[ 1200]    pursuit ->   fixation (ibdt:108)
[ 1201]    pursuit ->   fixation (ibdt:108)
[ 1202]    pursuit ->   fixation (ibdt:108)
[ 1203]    pursuit ->   fixation (ibdt:108)
[ 1204]    pursuit ->   fixation (ibdt:108)
[ 1205]    pursuit ->   fixation (ibdt:108)
[ 1206]    pursuit ->   fixation (ibdt:108)
[ 1207]    pursuit ->   fixation (ibdt:108)
[ 1208]    pursuit ->   fixation (ibdt:108)
[ 1209]    pursuit ->   fixation (ibdt:108)
[ 1210]    pursuit ->   fixation (ibdt:108)
[ 1211]    pursuit ->   fixation (ibdt:108)
[ 1212]    pursuit ->   fixation (ibdt:108)
[ 1213]    pursuit ->   fixation (ibdt:108)
[ 1214]    pursuit ->   fixation (ibdt:108)
[ 1215]    pursuit ->   fixation (ibdt:108)
[ 1216]    pursuit ->   fixation (ibdt:108)
[ 1217]    saccade ->   fixation (ibdt:108)
[ 1218]    saccade ->   fixation (ibdt:108)
[ 1219]    saccade ->   fixation (ibdt:108)
[ 1223]    saccade ->   fixation (ibdt:108)
[ 1224]    saccade ->   fixation (ibdt:108)
[ 1225]    pursuit ->   fixation (ibdt:108)
[ 1226]    pursuit ->   fixation (ibdt:108)
[ 1227]    pursuit ->   fixation (ibdt:108)
[ 1228]    pursuit ->   fixation (ibdt:108)
[ 1229]    pursuit ->   fixation (ibdt:108)
[ 1230]    pursuit ->   fixation (ibdt:108)
[ 1231]    pursuit ->   fixation (ibdt:108)
[ 1232]    pursuit ->   fixation (ibdt:108)
[ 1233]    pursuit ->   fixation (ibdt:108)
[ 1234]    pursuit ->   fixation (ibdt:108)
[ 1235]    pursuit ->   fixation (ibdt:108)
[ 1236]    pursuit ->   fixation (ibdt:108)
[ 1237]    pursuit ->   fixation (ibdt:108)
[ 1238]    pursuit ->   fixation (ibdt:108)
[ 1239]    pursuit ->   fixation (ibdt:108)
[ 1240]    pursuit ->   fixation (ibdt:108)
[ 1241]    pursuit ->   fixation (ibdt:108)
[ 1242]    pursuit ->   fixation (ibdt:108)
[ 1243]    pursuit ->   fixation (ibdt:108)
[ 1244]    pursuit ->   fixation (ibdt:108)
[ 1245]    pursuit ->   fixation (ibdt:108)
[ 1246]    pursuit ->   fixation (ibdt:108)
[ 1247]    pursuit ->   fixation (ibdt:108)
[ 1248]    pursuit ->   fixation (ibdt:108)
[ 1249]    pursuit ->   fixation (ibdt:108)
[ 1250]    pursuit ->   fixation (ibdt:108)
[ 1251]    pursuit ->   fixation (ibdt:108)
[ 1252]    pursuit ->   fixation (ibdt:108)
[ 1253]    pursuit ->   fixation (ibdt:108)
[ 1254]    pursuit ->   fixation (ibdt:108)
[ 1255]    pursuit ->   fixation (ibdt:108)
[ 1256]    pursuit ->   fixation (ibdt:108)
[ 1257]    pursuit ->   fixation (ibdt:108)
[ 1258]    pursuit ->   fixation (ibdt:108)
[ 1259]    pursuit ->   fixation (ibdt:108)
[ 1260]    pursuit ->   fixation (ibdt:108)
[ 1261]    pursuit ->   fixation (ibdt:108)
[ 1262]    pursuit ->   fixation (ibdt:108)
[ 1263]    pursuit ->   fixation (ibdt:108)
[ 1264]    pursuit ->   fixation (ibdt:108)
[ 1265]    pursuit ->   fixation (ibdt:108)
[ 1266]    pursuit ->   fixation (ibdt:108)
[ 1267]    pursuit ->   fixation (ibdt:108)
[ 1268]    pursuit ->   fixation (ibdt:108)
[ 1269]    pursuit ->   fixation (ibdt:108)
[ 1270]    pursuit ->   fixation (ibdt:108)
[ 1271]    pursuit ->   fixation (ibdt:108)
[ 1272]    pursuit ->   fixation (ibdt:108)
[ 1273]    pursuit ->   fixation (ibdt:108)
[ 1274]    pursuit ->   fixation (ibdt:108)
[ 1275]    pursuit ->   fixation (ibdt:108)
[ 1276]    pursuit ->   fixation (ibdt:108)
[ 1277]    pursuit ->   fixation (ibdt:108)
[ 1278]    pursuit ->   fixation (ibdt:108)
[ 1279]    pursuit ->   fixation (ibdt:108)
[ 1280]    pursuit ->   fixation (ibdt:108)
[ 1281]    pursuit ->   fixation (ibdt:108)
[ 1282]    pursuit ->   fixation (ibdt:108)
[ 1283]    pursuit ->   fixation (ibdt:108)
[ 1284]    pursuit ->   fixation (ibdt:108)
[ 1285]    pursuit ->   fixation (ibdt:108)
[ 1286]    pursuit ->   fixation (ibdt:108)
[ 1287]    pursuit ->   fixation (ibdt:108)
[ 1288]    pursuit ->   fixation (ibdt:108)
[ 1289]    pursuit ->   fixation (ibdt:108)
[ 1290]    pursuit ->   fixation (ibdt:108)
[ 1291]    pursuit ->   fixation (ibdt:108)
[ 1292]    pursuit ->   fixation (ibdt:108)
[ 1293]    pursuit ->   fixation (ibdt:108)
[ 1294]    pursuit ->   fixation (ibdt:108)
[ 1295]    pursuit ->   fixation (ibdt:108)
[ 1296]    pursuit ->   fixation (ibdt:108)
[ 1297]    pursuit ->   fixation (ibdt:108)
[ 1298]    pursuit ->   fixation (ibdt:108)
[ 1299]    pursuit ->   fixation (ibdt:108)
[ 1300]    pursuit ->   fixation (ibdt:108)
[ 1301]    pursuit ->   fixation (ibdt:108)
[ 1302]    pursuit ->   fixation (ibdt:108)
[ 1303]    pursuit ->   fixation (ibdt:108)
[ 1304]    pursuit ->   fixation (ibdt:108)
[ 1305]    pursuit ->   fixation (ibdt:108)
[ 1306]    pursuit ->   fixation (ibdt:108)
[ 1307]    pursuit ->   fixation (ibdt:108)
[ 1308]    pursuit ->   fixation (ibdt:108)
[ 1309]    pursuit ->   fixation (ibdt:108)
[ 1310]    pursuit ->   fixation (ibdt:108)
[ 1311]    pursuit ->   fixation (ibdt:108)
[ 1312]    pursuit ->   fixation (ibdt:108)
[ 1313]    pursuit ->   fixation (ibdt:108)
[ 1314]    pursuit ->   fixation (ibdt:108)
[ 1315]    pursuit ->   fixation (ibdt:108)
[ 1316]    pursuit ->   fixation (ibdt:108)
[ 1317]    pursuit ->   fixation (ibdt:108)
[ 1318]    pursuit ->   fixation (ibdt:108)
[ 1319]    pursuit ->   fixation (ibdt:108)
[ 1320]    pursuit ->   fixation (ibdt:108)
[ 1321]    pursuit ->   fixation (ibdt:108)
[ 1322]    pursuit ->   fixation (ibdt:108)
[ 1323]    pursuit ->   fixation (ibdt:108)
[ 1324]    pursuit ->   fixation (ibdt:108)
[ 1325]    pursuit ->   fixation (ibdt:108)
[ 1326]    pursuit ->   fixation (ibdt:108)
[ 1327]    pursuit ->   fixation (ibdt:108)
[ 1328]    pursuit ->   fixation (ibdt:108)
[ 1329]    pursuit ->   fixation (ibdt:108)
[ 1330]    pursuit ->   fixation (ibdt:108)
[ 1331]    pursuit ->   fixation (ibdt:108)
[ 1332]    pursuit ->   fixation (ibdt:108)
[ 1333]    pursuit ->   fixation (ibdt:108)
[ 1334]    pursuit ->   fixation (ibdt:108)
[ 1335]    pursuit ->   fixation (ibdt:108)
[ 1336]    pursuit ->   fixation (ibdt:108)
[ 1337]    pursuit ->   fixation (ibdt:108)
[ 1338]    pursuit ->   fixation (ibdt:108)
[ 1339]    pursuit ->   fixation (ibdt:108)
[ 1340]    pursuit ->   fixation (ibdt:108)
[ 1341]    pursuit ->   fixation (ibdt:108)
[ 1342]    pursuit ->   fixation (ibdt:108)
[ 1343]    pursuit ->   fixation (ibdt:108)
[ 1344]    pursuit ->   fixation (ibdt:108)
[ 1345]    pursuit ->   fixation (ibdt:108)
[ 1346]    pursuit ->   fixation (ibdt:108)
[ 1347]    pursuit ->   fixation (ibdt:108)
[ 1348]    saccade ->   fixation (ibdt:108)
[ 1349]    saccade ->   fixation (ibdt:108)
[ 1350]    saccade ->   fixation (ibdt:108)
[ 1351]    saccade ->   fixation (ibdt:108)
[ 1359]    saccade ->   fixation (ibdt:108)
[ 1360]    saccade ->   fixation (ibdt:108)
[ 1361]    saccade ->   fixation (ibdt:108)
[ 1362]    saccade ->   fixation (ibdt:108)
[ 1363]    saccade ->   fixation (ibdt:108)
[ 1364]    saccade ->   fixation (ibdt:108)
[ 1365]    saccade ->   fixation (ibdt:108)
[ 1366]    saccade ->   fixation (ibdt:108)
[ 1367]    saccade ->   fixation (ibdt:108)
[ 1368]    pursuit ->   fixation (ibdt:108)
[ 1369]    pursuit ->   fixation (ibdt:108)
[ 1370]    pursuit ->   fixation (ibdt:108)
[ 1371]    pursuit ->   fixation (ibdt:108)
[ 1372]    pursuit ->   fixation (ibdt:108)
[ 1373]    pursuit ->   fixation (ibdt:108)
[ 1374]    pursuit ->   fixation (ibdt:108)
[ 1375]    pursuit ->   fixation (ibdt:108)
[ 1376]    pursuit ->   fixation (ibdt:108)
[ 1377]    pursuit ->   fixation (ibdt:108)
[ 1378]    pursuit ->   fixation (ibdt:108)
[ 1379]    pursuit ->   fixation (ibdt:108)
[ 1380]    pursuit ->   fixation (ibdt:108)
[ 1381]    pursuit ->   fixation (ibdt:108)
[ 1382]    pursuit ->   fixation (ibdt:108)
[ 1383]    pursuit ->   fixation (ibdt:108)
[ 1384]    pursuit ->   fixation (ibdt:108)
[ 1385]    pursuit ->   fixation (ibdt:108)
[ 1386]    pursuit ->   fixation (ibdt:108)
[ 1387]    pursuit ->   fixation (ibdt:108)
[ 1388]    pursuit ->   fixation (ibdt:108)
[ 1389]    pursuit ->   fixation (ibdt:108)
[ 1390]    pursuit ->   fixation (ibdt:108)
[ 1391]    pursuit ->   fixation (ibdt:108)
[ 1392]    pursuit ->   fixation (ibdt:108)
[ 1393]    pursuit ->   fixation (ibdt:108)
[ 1394]    pursuit ->   fixation (ibdt:108)
[ 1395]    pursuit ->   fixation (ibdt:108)
[ 1396]    pursuit ->   fixation (ibdt:108)
[ 1397]    pursuit ->   fixation (ibdt:108)
[ 1398]    pursuit ->   fixation (ibdt:108)
[ 1399]    pursuit ->   fixation (ibdt:108)
[ 1400]    pursuit ->   fixation (ibdt:108)
[ 1401]    pursuit ->   fixation (ibdt:108)
[ 1402]    pursuit ->   fixation (ibdt:108)
[ 1403]    pursuit ->   fixation (ibdt:108)
[ 1404]    pursuit ->   fixation (ibdt:108)
[ 1405]    pursuit ->   fixation (ibdt:108)
[ 1406]    pursuit ->   fixation (ibdt:108)
[ 1407]    pursuit ->   fixation (ibdt:108)
[ 1408]    pursuit ->   fixation (ibdt:108)
[ 1409]    pursuit ->   fixation (ibdt:108)
[ 1410]    pursuit ->   fixation (ibdt:108)
[ 1411]    pursuit ->   fixation (ibdt:108)
[ 1412]    pursuit ->   fixation (ibdt:108)
[ 1413]    pursuit ->   fixation (ibdt:108)
[ 1414]    pursuit ->   fixation (ibdt:108)
[ 1415]    pursuit ->   fixation (ibdt:108)
[ 1416]    pursuit ->   fixation (ibdt:108)
[ 1417]    pursuit ->   fixation (ibdt:108)
[ 1418]    pursuit ->   fixation (ibdt:108)
[ 1419]    pursuit ->   fixation (ibdt:108)
[ 1420]    pursuit ->   fixation (ibdt:108)
[ 1421]    pursuit ->   fixation (ibdt:108)
[ 1422]    pursuit ->   fixation (ibdt:108)
[ 1423]    pursuit ->   fixation (ibdt:108)
[ 1424]    pursuit ->   fixation (ibdt:108)
[ 1425]    pursuit ->   fixation (ibdt:108)
[ 1426]    pursuit ->   fixation (ibdt:108)
[ 1427]    pursuit ->   fixation (ibdt:108)
[ 1428]    pursuit ->   fixation (ibdt:108)
[ 1429]    pursuit ->   fixation (ibdt:108)
[ 1430]    pursuit ->   fixation (ibdt:108)
[ 1431]    pursuit ->   fixation (ibdt:108)
[ 1432]    pursuit ->   fixation (ibdt:108)
[ 1433]    pursuit ->   fixation (ibdt:108)
[ 1434]    pursuit ->   fixation (ibdt:108)
[ 1435]    pursuit ->   fixation (ibdt:108)
[ 1436]    pursuit ->   fixation (ibdt:108)
[ 1437]    pursuit ->   fixation (ibdt:108)
[ 1438]    pursuit ->   fixation (ibdt:108)
[ 1439]    pursuit ->   fixation (ibdt:108)
[ 1440]    pursuit ->   fixation (ibdt:108)
[ 1441]    pursuit ->   fixation (ibdt:108)
[ 1442]    pursuit ->   fixation (ibdt:108)
[ 1443]    pursuit ->   fixation (ibdt:108)
[ 1444]    pursuit ->   fixation (ibdt:108)
[ 1445]    pursuit ->   fixation (ibdt:108)
[ 1446]    pursuit ->   fixation (ibdt:108)
[ 1447]    pursuit ->   fixation (ibdt:108)
[ 1448]    pursuit ->   fixation (ibdt:108)
[ 1449]    saccade ->   fixation (ibdt:108)
[ 1450]    saccade ->   fixation (ibdt:108)
[ 1452]    saccade ->   fixation (ibdt:108)
[ 1453]    saccade ->   fixation (ibdt:108)
[ 1454]    saccade ->   fixation (ibdt:108)
[ 1455]    pursuit ->   fixation (ibdt:108)
[ 1456]    pursuit ->   fixation (ibdt:108)
[ 1457]    pursuit ->   fixation (ibdt:108)
[ 1458]    pursuit ->   fixation (ibdt:108)
[ 1459]    pursuit ->   fixation (ibdt:108)
[ 1460]    pursuit ->   fixation (ibdt:108)
[ 1461]    pursuit ->   fixation (ibdt:108)
[ 1462]    pursuit ->   fixation (ibdt:108)
[ 1463]    pursuit ->   fixation (ibdt:108)
[ 1464]    pursuit ->   fixation (ibdt:108)
[ 1465]    pursuit ->   fixation (ibdt:108)
[ 1466]    pursuit ->   fixation (ibdt:108)
[ 1467]    pursuit ->   fixation (ibdt:108)
[ 1468]    pursuit ->   fixation (ibdt:108)
[ 1469]    pursuit ->   fixation (ibdt:108)
[ 1470]    pursuit ->   fixation (ibdt:108)
[ 1471]    pursuit ->   fixation (ibdt:108)
[ 1472]    pursuit ->   fixation (ibdt:108)
[ 1473]    pursuit ->   fixation (ibdt:108)
[ 1474]    pursuit ->   fixation (ibdt:108)
[ 1475]    pursuit ->   fixation (ibdt:108)
[ 1476]    pursuit ->   fixation (ibdt:108)
[ 1477]    pursuit ->   fixation (ibdt:108)
[ 1478]    pursuit ->   fixation (ibdt:108)
[ 1479]    pursuit ->   fixation (ibdt:108)
[ 1480]    pursuit ->   fixation (ibdt:108)
[ 1481]    pursuit ->   fixation (ibdt:108)
[ 1482]    pursuit ->   fixation (ibdt:108)
[ 1483]    pursuit ->   fixation (ibdt:108)
[ 1484]    pursuit ->   fixation (ibdt:108)
[ 1485]    pursuit ->   fixation (ibdt:108)
[ 1486]    pursuit ->   fixation (ibdt:108)
[ 1487]    pursuit ->   fixation (ibdt:108)
[ 1488]    pursuit ->   fixation (ibdt:108)
[ 1489]    pursuit ->   fixation (ibdt:108)
[ 1490]    pursuit ->   fixation (ibdt:108)
[ 1491]    pursuit ->   fixation (ibdt:108)
[ 1492]    pursuit ->   fixation (ibdt:108)
[ 1493]    pursuit ->   fixation (ibdt:108)
[ 1494]    pursuit ->   fixation (ibdt:108)
[ 1495]    pursuit ->   fixation (ibdt:108)
[ 1496]    pursuit ->   fixation (ibdt:108)
[ 1497]    pursuit ->   fixation (ibdt:108)
[ 1498]    pursuit ->   fixation (ibdt:108)
[ 1499]    pursuit ->   fixation (ibdt:108)
[ 1500]    pursuit ->   fixation (ibdt:108)
[ 1501]    pursuit ->   fixation (ibdt:108)
[ 1502]    pursuit ->   fixation (ibdt:108)
[ 1503]    pursuit ->   fixation (ibdt:108)
[ 1504]    pursuit ->   fixation (ibdt:108)
[ 1505]    pursuit ->   fixation (ibdt:108)
[ 1506]    pursuit ->   fixation (ibdt:108)
[ 1507]    pursuit ->   fixation (ibdt:108)
[ 1508]    pursuit ->   fixation (ibdt:108)
[ 1509]    pursuit ->   fixation (ibdt:108)
[ 1510]    pursuit ->   fixation (ibdt:108)
[ 1511]    pursuit ->   fixation (ibdt:108)
[ 1512]    pursuit ->   fixation (ibdt:108)
[ 1513]    pursuit ->   fixation (ibdt:108)
[ 1514]    pursuit ->   fixation (ibdt:108)
[ 1515]    pursuit ->   fixation (ibdt:108)
[ 1516]    pursuit ->   fixation (ibdt:108)
[ 1517]    pursuit ->   fixation (ibdt:108)
[ 1518]    pursuit ->   fixation (ibdt:108)
[ 1519]    pursuit ->   fixation (ibdt:108)
[ 1520]    pursuit ->   fixation (ibdt:108)
[ 1521]    pursuit ->   fixation (ibdt:108)
[ 1522]    pursuit ->   fixation (ibdt:108)
[ 1523]    pursuit ->   fixation (ibdt:108)
[ 1524]    pursuit ->   fixation (ibdt:108)
[ 1525]    pursuit ->   fixation (ibdt:108)
[ 1526]    pursuit ->   fixation (ibdt:108)
[ 1527]    pursuit ->   fixation (ibdt:108)
[ 1528]    pursuit ->   fixation (ibdt:108)
[ 1529]    pursuit ->   fixation (ibdt:108)
[ 1530]    pursuit ->   fixation (ibdt:108)
[ 1531]    pursuit ->   fixation (ibdt:108)
[ 1532]    pursuit ->   fixation (ibdt:108)
[ 1533]    pursuit ->   fixation (ibdt:108)
[ 1534]    pursuit ->   fixation (ibdt:108)
[ 1535]    pursuit ->   fixation (ibdt:108)
[ 1536]    pursuit ->   fixation (ibdt:108)
[ 1537]    pursuit ->   fixation (ibdt:108)
[ 1538]    pursuit ->   fixation (ibdt:108)
[ 1539]    pursuit ->   fixation (ibdt:108)
[ 1540]    pursuit ->   fixation (ibdt:108)
[ 1541]    pursuit ->   fixation (ibdt:108)
[ 1542]    pursuit ->   fixation (ibdt:108)
[ 1543]    pursuit ->   fixation (ibdt:108)
[ 1544]    pursuit ->   fixation (ibdt:108)
[ 1545]    pursuit ->   fixation (ibdt:108)
[ 1546]    pursuit ->   fixation (ibdt:108)
[ 1547]    pursuit ->   fixation (ibdt:108)
[ 1548]    pursuit ->   fixation (ibdt:108)
[ 1549]    pursuit ->   fixation (ibdt:108)
[ 1550]    pursuit ->   fixation (ibdt:108)
[ 1551]    pursuit ->   fixation (ibdt:108)
[ 1552]    pursuit ->   fixation (ibdt:108)
[ 1553]    pursuit ->   fixation (ibdt:108)
[ 1554]    pursuit ->   fixation (ibdt:108)
[ 1555]    pursuit ->   fixation (ibdt:108)
[ 1556]    pursuit ->   fixation (ibdt:108)
[ 1557]    pursuit ->   fixation (ibdt:108)
[ 1558]    pursuit ->   fixation (ibdt:108)
[ 1559]    pursuit ->   fixation (ibdt:108)
[ 1560]    pursuit ->   fixation (ibdt:108)
[ 1561]    pursuit ->   fixation (ibdt:108)
[ 1562]    pursuit ->   fixation (ibdt:108)
[ 1563]    pursuit ->   fixation (ibdt:108)
[ 1564]    pursuit ->   fixation (ibdt:108)
[ 1565]    pursuit ->   fixation (ibdt:108)
[ 1566]    pursuit ->   fixation (ibdt:108)
[ 1567]    pursuit ->   fixation (ibdt:108)
