[  143]   fixation ->    saccade (ibdt:108)
[ 1522]    saccade ->   fixation (ibdt:108)
[ 1523]    saccade ->   fixation (ibdt:108)
[ 1524]    saccade ->   fixation (ibdt:108)
[ 1525]    saccade ->   fixation (ibdt:108)
[ 1526]    saccade ->   fixation (ibdt:108)
[ 1607]    saccade ->   fixation (ibdt:108)
[ 1608]    saccade ->   fixation (ibdt:108)
[ 1614]    saccade ->   fixation (ibdt:108)
[ 1615]    saccade ->   fixation (ibdt:108)
[ 1690]    saccade ->   fixation (ibdt:108)
[ 1691]    saccade ->   fixation (ibdt:108)
[ 1695]    saccade ->   fixation (ibdt:108)
[ 1696]    saccade ->   fixation (ibdt:108)
[ 1733]    saccade ->   fixation (ibdt:108)
[ 1749]    saccade ->   fixation (ibdt:108)
[ 1750]    saccade ->   fixation (ibdt:108)
[ 1751]    saccade ->   fixation (ibdt:108)
[ 1800]    saccade ->   fixation (ibdt:108)
[ 1801]    saccade ->   fixation (ibdt:108)
[ 1804]    saccade ->   fixation (ibdt:108)
[ 1805]    saccade ->   fixation (ibdt:108)
[ 1806]    saccade ->   fixation (ibdt:108)
[ 1807]    saccade ->   fixation (ibdt:108)
[ 1849]    saccade ->   fixation (ibdt:108)
[ 1850]    saccade ->   fixation (ibdt:108)
[ 1851]    saccade ->   fixation (ibdt:108)
[ 1853]    saccade ->   fixation (ibdt:108)
[ 1854]    saccade ->   fixation (ibdt:108)
[ 1855]    saccade ->   fixation (ibdt:108)
[ 1999]    saccade ->   fixation (ibdt:108)
[ 2000]    saccade ->   fixation (ibdt:108)
[ 2001]    saccade ->   fixation (ibdt:108)
[ 2004]    saccade ->   fixation (ibdt:108)
[ 2005]    saccade ->   fixation (ibdt:108)
[ 2006]    saccade ->   fixation (ibdt:108)
[ 2053]    saccade ->   fixation (ibdt:108)
[ 2054]    saccade ->   fixation (ibdt:108)
[ 2061]    saccade ->   fixation (ibdt:108)
[ 2062]    saccade ->   fixation (ibdt:108)
[ 2137]    saccade ->   fixation (ibdt:108)
[ 2138]    saccade ->   fixation (ibdt:108)
[ 2142]    saccade ->   fixation (ibdt:108)
[ 2143]    saccade ->   fixation (ibdt:108)
[ 2229]    saccade ->   fixation (ibdt:108)
[ 2230]    saccade ->   fixation (ibdt:108)
[ 2235]    saccade ->   fixation (ibdt:108)
[ 2329]    saccade ->   fixation (ibdt:108)
[ 2334]    saccade ->   fixation (ibdt:108)
[ 2335]    saccade ->   fixation (ibdt:108)
[ 2336]    saccade ->   fixation (ibdt:108)
[ 2379]    saccade ->   fixation (ibdt:108)
[ 2384]    saccade ->   fixation (ibdt:108)
[ 2385]    saccade ->   fixation (ibdt:108)
[ 2386]    saccade ->   fixation (ibdt:108)
[ 2486]    saccade ->   fixation (ibdt:108)
[ 2487]    saccade ->   fixation (ibdt:108)
[ 2493]    saccade ->   fixation (ibdt:108)
[ 2494]    saccade ->   fixation (ibdt:108)
[ 2598]    saccade ->   fixation (ibdt:108)
[ 2599]    saccade ->   fixation (ibdt:108)
[ 2600]    saccade ->   fixation (ibdt:108)
[ 2601]    saccade ->   fixation (ibdt:108)
[ 2645]    saccade ->   fixation (ibdt:108)
[ 2646]    saccade ->   fixation (ibdt:108)
[ 2647]    saccade ->   fixation (ibdt:108)
[ 2648]    saccade ->   fixation (ibdt:108)
[ 2649]    saccade ->   fixation (ibdt:108)
[ 2650]    saccade ->   fixation (ibdt:108)
[ 2651]    saccade ->   fixation (ibdt:108)
[ 2694]    saccade ->   fixation (ibdt:108)
[ 2702]    saccade ->   fixation (ibdt:108)
[ 2703]    saccade ->   fixation (ibdt:108)
[ 2757]    saccade ->   fixation (ibdt:108)
[ 2758]    saccade ->   fixation (ibdt:108)
[ 2759]    saccade ->   fixation (ibdt:108)
[ 2760]    saccade ->   fixation (ibdt:108)
[ 2761]    saccade ->   fixation (ibdt:108)
[ 2762]    saccade ->   fixation (ibdt:108)
[ 2763]    saccade ->   fixation (ibdt:108)
[ 2943]    saccade ->   fixation (ibdt:108)
[ 2953]    saccade ->   fixation (ibdt:108)
[ 2954]    saccade ->   fixation (ibdt:108)
[ 2955]    saccade ->   fixation (ibdt:108)
[ 3032]    saccade ->   fixation (ibdt:108)
[ 3033]    saccade ->   fixation (ibdt:108)
[ 3034]    saccade ->   fixation (ibdt:108)
[ 3035]    saccade ->   fixation (ibdt:108)
[ 3036]    saccade ->   fixation (ibdt:108)
[ 3037]    saccade ->   fixation (ibdt:108)
[ 3038]    saccade ->   fixation (ibdt:108)
[ 3064]    saccade ->   fixation (ibdt:108)
[ 3065]    saccade ->   fixation (ibdt:108)
[ 3071]    saccade ->   fixation (ibdt:108)
[ 3072]    saccade ->   fixation (ibdt:108)
[ 3073]    saccade ->   fixation (ibdt:108)
[ 3074]    saccade ->   fixation (ibdt:108)
[ 3075]    saccade ->   fixation (ibdt:108)
[ 3117]    saccade ->   fixation (ibdt:108)
[ 3118]    saccade ->   fixation (ibdt:108)
[ 3121]    saccade ->   fixation (ibdt:108)
[ 3122]    saccade ->   fixation (ibdt:108)
[ 3123]    saccade ->   fixation (ibdt:108)
[ 3124]    saccade ->   fixation (ibdt:108)
[ 3125]    pursuit ->   fixation (ibdt:108)
[ 3126]    pursuit ->   fixation (ibdt:108)
[ 3127]    pursuit ->   fixation (ibdt:108)
[ 3128]    pursuit ->   fixation (ibdt:108)
[ 3129]    pursuit ->   fixation (ibdt:108)
[ 3130]    pursuit ->   fixation (ibdt:108)
[ 3131]    pursuit ->   fixation (ibdt:108)
[ 3132]    pursuit ->   fixation (ibdt:108)
[ 3133]    pursuit ->   fixation (ibdt:108)
[ 3134]    pursuit ->   fixation (ibdt:108)
[ 3135]    pursuit ->   fixation (ibdt:108)
[ 3136]    pursuit ->   fixation (ibdt:108)
[ 3137]    pursuit ->   fixation (ibdt:108)
[ 3138]    pursuit ->   fixation (ibdt:108)
[ 3139]    pursuit ->   fixation (ibdt:108)
[ 3140]    pursuit ->   fixation (ibdt:108)
[ 3141]    pursuit ->   fixation (ibdt:108)
[ 3142]    pursuit ->   fixation (ibdt:108)
[ 3143]    pursuit ->   fixation (ibdt:108)
[ 3144]    pursuit ->   fixation (ibdt:108)
[ 3145]    pursuit ->   fixation (ibdt:108)
[ 3146]    pursuit ->   fixation (ibdt:108)
[ 3147]    pursuit ->   fixation (ibdt:108)
[ 3148]    pursuit ->   fixation (ibdt:108)
[ 3149]    pursuit ->   fixation (ibdt:108)
[ 3150]    pursuit ->   fixation (ibdt:108)
[ 3151]    pursuit ->   fixation (ibdt:108)
[ 3152]    pursuit ->   fixation (ibdt:108)
[ 3153]    pursuit ->   fixation (ibdt:108)
[ 3154]    pursuit ->   fixation (ibdt:108)
[ 3155]    pursuit ->   fixation (ibdt:108)
[ 3156]    pursuit ->   fixation (ibdt:108)
[ 3157]    pursuit ->   fixation (ibdt:108)
[ 3158]    pursuit ->   fixation (ibdt:108)
[ 3159]    pursuit ->   fixation (ibdt:108)
[ 3160]    pursuit ->   fixation (ibdt:108)
[ 3161]    pursuit ->   fixation (ibdt:108)
[ 3162]    pursuit ->   fixation (ibdt:108)
[ 3163]    pursuit ->   fixation (ibdt:108)
[ 3164]    pursuit ->   fixation (ibdt:108)
[ 3165]    pursuit ->   fixation (ibdt:108)
[ 3166]    saccade ->   fixation (ibdt:108)
[ 3167]    saccade ->   fixation (ibdt:108)
[ 3168]    saccade ->   fixation (ibdt:108)
[ 3169]    saccade ->   fixation (ibdt:108)
[ 3170]    saccade ->   fixation (ibdt:108)
[ 3171]    saccade ->   fixation (ibdt:108)
[ 3172]    saccade ->   fixation (ibdt:108)
[ 3173]    saccade ->   fixation (ibdt:108)
[ 3174]    saccade ->   fixation (ibdt:108)
[ 3175]    pursuit ->   fixation (ibdt:108)
[ 3176]    pursuit ->   fixation (ibdt:108)
[ 3177]    pursuit ->   fixation (ibdt:108)
[ 3178]    pursuit ->   fixation (ibdt:108)
[ 3179]    pursuit ->   fixation (ibdt:108)
[ 3180]    pursuit ->   fixation (ibdt:108)
[ 3181]    pursuit ->   fixation (ibdt:108)
[ 3182]    pursuit ->   fixation (ibdt:108)
[ 3183]    pursuit ->   fixation (ibdt:108)
[ 3184]    pursuit ->   fixation (ibdt:108)
[ 3185]    pursuit ->   fixation (ibdt:108)
[ 3186]    pursuit ->   fixation (ibdt:108)
[ 3187]    pursuit ->   fixation (ibdt:108)
[ 3188]    pursuit ->   fixation (ibdt:108)
[ 3189]    pursuit ->   fixation (ibdt:108)
[ 3190]    pursuit ->   fixation (ibdt:108)
[ 3191]    pursuit ->   fixation (ibdt:108)
[ 3192]    pursuit ->   fixation (ibdt:108)
[ 3193]    pursuit ->   fixation (ibdt:108)
[ 3194]    pursuit ->   fixation (ibdt:108)
[ 3195]    pursuit ->   fixation (ibdt:108)
[ 3196]    pursuit ->   fixation (ibdt:108)
[ 3197]    pursuit ->   fixation (ibdt:108)
[ 3198]    pursuit ->   fixation (ibdt:108)
[ 3199]    pursuit ->   fixation (ibdt:108)
[ 3200]    pursuit ->   fixation (ibdt:108)
[ 3201]    pursuit ->   fixation (ibdt:108)
[ 3202]    pursuit ->   fixation (ibdt:108)
[ 3203]    pursuit ->   fixation (ibdt:108)
[ 3204]    pursuit ->   fixation (ibdt:108)
[ 3205]    pursuit ->   fixation (ibdt:108)
[ 3206]    pursuit ->   fixation (ibdt:108)
[ 3207]    pursuit ->   fixation (ibdt:108)
[ 3208]    pursuit ->   fixation (ibdt:108)
[ 3209]    pursuit ->   fixation (ibdt:108)
[ 3210]    pursuit ->   fixation (ibdt:108)
[ 3211]    pursuit ->   fixation (ibdt:108)
[ 3212]    pursuit ->   fixation (ibdt:108)
[ 3213]    pursuit ->   fixation (ibdt:108)
[ 3214]    pursuit ->   fixation (ibdt:108)
[ 3215]    pursuit ->   fixation (ibdt:108)
[ 3216]    pursuit ->   fixation (ibdt:108)
[ 3217]    pursuit ->   fixation (ibdt:108)
[ 3218]    pursuit ->   fixation (ibdt:108)
[ 3219]    pursuit ->   fixation (ibdt:108)
[ 3220]    pursuit ->   fixation (ibdt:108)
[ 3221]    pursuit ->   fixation (ibdt:108)
[ 3222]    pursuit ->   fixation (ibdt:108)
[ 3223]    pursuit ->   fixation (ibdt:108)
[ 3224]    saccade ->   fixation (ibdt:108)
[ 3231]    saccade ->   fixation (ibdt:108)
[ 3232]    saccade ->   fixation (ibdt:108)
[ 3233]    saccade ->   fixation (ibdt:108)
[ 3234]    pursuit ->   fixation (ibdt:108)
[ 3235]    pursuit ->   fixation (ibdt:108)
[ 3236]    pursuit ->   fixation (ibdt:108)
[ 3237]    pursuit ->   fixation (ibdt:108)
[ 3238]    pursuit ->   fixation (ibdt:108)
[ 3239]    pursuit ->   fixation (ibdt:108)
[ 3240]    pursuit ->   fixation (ibdt:108)
[ 3241]    pursuit ->   fixation (ibdt:108)
[ 3242]    pursuit ->   fixation (ibdt:108)
[ 3243]    pursuit ->   fixation (ibdt:108)
[ 3255]    pursuit ->   fixation (ibdt:108)
[ 3256]    pursuit ->   fixation (ibdt:108)
[ 3275]    pursuit ->   fixation (ibdt:108)
[ 3276]    pursuit ->   fixation (ibdt:108)
[ 3277]    pursuit ->   fixation (ibdt:108)
[ 3278]    pursuit ->   fixation (ibdt:108)
[ 3279]    pursuit ->   fixation (ibdt:108)
[ 3280]    pursuit ->   fixation (ibdt:108)
[ 3281]    pursuit ->   fixation (ibdt:108)
[ 3282]    pursuit ->   fixation (ibdt:108)
[ 3283]    pursuit ->   fixation (ibdt:108)
[ 3284]    pursuit ->   fixation (ibdt:108)
[ 3285]    pursuit ->   fixation (ibdt:108)
[ 3286]    pursuit ->   fixation (ibdt:108)
[ 3287]    pursuit ->   fixation (ibdt:108)
[ 3288]    pursuit ->   fixation (ibdt:108)
[ 3289]    pursuit ->   fixation (ibdt:108)
[ 3290]    pursuit ->   fixation (ibdt:108)
[ 3291]    pursuit ->   fixation (ibdt:108)
[ 3292]    pursuit ->   fixation (ibdt:108)
[ 3293]    pursuit ->   fixation (ibdt:108)
[ 3294]    pursuit ->   fixation (ibdt:108)
[ 3295]    pursuit ->   fixation (ibdt:108)
[ 3296]    pursuit ->   fixation (ibdt:108)
[ 3297]    pursuit ->   fixation (ibdt:108)
[ 3298]    pursuit ->   fixation (ibdt:108)
[ 3299]    pursuit ->   fixation (ibdt:108)
[ 3300]    pursuit ->   fixation (ibdt:108)
[ 3301]    pursuit ->   fixation (ibdt:108)
[ 3302]    pursuit ->   fixation (ibdt:108)
[ 3303]    pursuit ->   fixation (ibdt:108)
[ 3304]    pursuit ->   fixation (ibdt:108)
[ 3305]    pursuit ->   fixation (ibdt:108)
[ 3306]    pursuit ->   fixation (ibdt:108)
[ 3307]    pursuit ->   fixation (ibdt:108)
[ 3308]    pursuit ->   fixation (ibdt:108)
[ 3309]    pursuit ->   fixation (ibdt:108)
[ 3310]    pursuit ->   fixation (ibdt:108)
[ 3311]    pursuit ->   fixation (ibdt:108)
[ 3312]    pursuit ->   fixation (ibdt:108)
[ 3313]    pursuit ->   fixation (ibdt:108)
[ 3314]    pursuit ->   fixation (ibdt:108)
[ 3315]    pursuit ->   fixation (ibdt:108)
[ 3316]    pursuit ->   fixation (ibdt:108)
[ 3317]    pursuit ->   fixation (ibdt:108)
[ 3318]    pursuit ->   fixation (ibdt:108)
[ 3319]    pursuit ->   fixation (ibdt:108)
[ 3320]    pursuit ->   fixation (ibdt:108)
[ 3321]    pursuit ->   fixation (ibdt:108)
[ 3322]    pursuit ->   fixation (ibdt:108)
[ 3323]    pursuit ->   fixation (ibdt:108)
[ 3324]    pursuit ->   fixation (ibdt:108)
[ 3325]    saccade ->   fixation (ibdt:108)
[ 3326]    saccade ->   fixation (ibdt:108)
[ 3327]    saccade ->   fixation (ibdt:108)
[ 3328]    saccade ->   fixation (ibdt:108)
[ 3329]    saccade ->   fixation (ibdt:108)
[ 3330]    saccade ->   fixation (ibdt:108)
[ 3331]    pursuit ->   fixation (ibdt:108)
[ 3332]    pursuit ->   fixation (ibdt:108)
[ 3333]    pursuit ->   fixation (ibdt:108)
[ 3334]    pursuit ->   fixation (ibdt:108)
[ 3335]    pursuit ->   fixation (ibdt:108)
[ 3336]    pursuit ->   fixation (ibdt:108)
[ 3337]    pursuit ->   fixation (ibdt:108)
[ 3338]    pursuit ->   fixation (ibdt:108)
[ 3339]    pursuit ->   fixation (ibdt:108)
[ 3340]    pursuit ->   fixation (ibdt:108)
[ 3341]    pursuit ->   fixation (ibdt:108)
[ 3342]    pursuit ->   fixation (ibdt:108)
[ 3343]    pursuit ->   fixation (ibdt:108)
[ 3344]    pursuit ->   fixation (ibdt:108)
[ 3345]    pursuit ->   fixation (ibdt:108)
[ 3346]    pursuit ->   fixation (ibdt:108)
[ 3347]    pursuit ->   fixation (ibdt:108)
[ 3348]    pursuit ->   fixation (ibdt:108)
[ 3349]    pursuit ->   fixation (ibdt:108)
[ 3350]    pursuit ->   fixation (ibdt:108)
[ 3351]    pursuit ->   fixation (ibdt:108)
[ 3352]    pursuit ->   fixation (ibdt:108)
[ 3353]    saccade ->   fixation (ibdt:108)
[ 3361]    saccade ->   fixation (ibdt:108)
[ 3362]    saccade ->   fixation (ibdt:108)
[ 3363]    saccade ->   fixation (ibdt:108)
[ 3364]    saccade ->   fixation (ibdt:108)
[ 3365]    saccade ->   fixation (ibdt:108)
[ 3413]    saccade ->   fixation (ibdt:108)
[ 3414]    saccade ->   fixation (ibdt:108)
[ 3415]    saccade ->   fixation (ibdt:108)
[ 3416]    saccade ->   fixation (ibdt:108)
[ 3417]    saccade ->   fixation (ibdt:108)
[ 3418]    saccade ->   fixation (ibdt:108)
[ 3474]    saccade ->   fixation (ibdt:108)
[ 3475]    saccade ->   fixation (ibdt:108)
[ 3476]    saccade ->   fixation (ibdt:108)
[ 3477]    saccade ->   fixation (ibdt:108)
[ 3478]    saccade ->   fixation (ibdt:108)
[ 3479]    saccade ->   fixation (ibdt:108)
[ 3480]    saccade ->   fixation (ibdt:108)
[ 3512]    saccade ->   fixation (ibdt:108)
[ 3513]    saccade ->   fixation (ibdt:108)
[ 3514]    saccade ->   fixation (ibdt:108)
[ 3523]    saccade ->   fixation (ibdt:108)
[ 3524]    saccade ->   fixation (ibdt:108)
[ 3525]    saccade ->   fixation (ibdt:108)
[ 3526]    saccade ->   fixation (ibdt:108)
[ 3581]    saccade ->   fixation (ibdt:108)
[ 3582]    saccade ->   fixation (ibdt:108)
[ 3583]    saccade ->   fixation (ibdt:108)
[ 3584]    saccade ->   fixation (ibdt:108)
[ 3585]    saccade ->   fixation (ibdt:108)
[ 3586]    saccade ->   fixation (ibdt:108)
[ 3634]    saccade ->   fixation (ibdt:108)
[ 3635]    saccade ->   fixation (ibdt:108)
[ 3646]    saccade ->   fixation (ibdt:108)
[ 3647]    saccade ->   fixation (ibdt:108)
[ 3648]    saccade ->   fixation (ibdt:108)
[ 3649]    saccade ->   fixation (ibdt:108)
[ 3650]    saccade ->   fixation (ibdt:108)
[ 3651]    saccade ->   fixation (ibdt:108)
[ 3652]    saccade ->   fixation (ibdt:108)
[ 3699]    saccade ->   fixation (ibdt:108)
[ 3700]    saccade ->   fixation (ibdt:108)
[ 3701]    saccade ->   fixation (ibdt:108)
[ 3703]    saccade ->   fixation (ibdt:108)
[ 3704]    saccade ->   fixation (ibdt:108)
[ 3764]    saccade ->   fixation (ibdt:108)
[ 3765]    saccade ->   fixation (ibdt:108)
[ 3766]    saccade ->   fixation (ibdt:108)
[ 3775]    saccade ->   fixation (ibdt:108)
[ 3776]    saccade ->   fixation (ibdt:108)
[ 3819]    saccade ->   fixation (ibdt:108)
[ 3822]    saccade ->   fixation (ibdt:108)
[ 3823]    saccade ->   fixation (ibdt:108)
[ 3824]    saccade ->   fixation (ibdt:108)
[ 3825]    saccade ->   fixation (ibdt:108)
[ 3903]    saccade ->   fixation (ibdt:108)
[ 3904]    saccade ->   fixation (ibdt:108)
[ 3905]    saccade ->   fixation (ibdt:108)
[ 3906]    saccade ->   fixation (ibdt:108)
[ 3907]    saccade ->   fixation (ibdt:108)
[ 3908]    saccade ->   fixation (ibdt:108)
[ 3988]    saccade ->   fixation (ibdt:108)
[ 3989]    saccade ->   fixation (ibdt:108)
[ 3992]    saccade ->   fixation (ibdt:108)
[ 3993]    saccade ->   fixation (ibdt:108)
[ 3994]    saccade ->   fixation (ibdt:108)
[ 3995]    saccade ->   fixation (ibdt:108)
[ 3996]    saccade ->   fixation (ibdt:108)
[ 4046]    saccade ->   fixation (ibdt:108)
[ 4047]    saccade ->   fixation (ibdt:108)
[ 4051]    saccade ->   fixation (ibdt:108)
[ 4052]    saccade ->   fixation (ibdt:108)
[ 4053]    saccade ->   fixation (ibdt:108)
[ 4054]    saccade ->   fixation (ibdt:108)
[ 4098]    saccade ->   fixation (ibdt:108)
[ 4099]    saccade ->   fixation (ibdt:108)
[ 4100]    saccade ->   fixation (ibdt:108)
[ 4101]    saccade ->   fixation (ibdt:108)
[ 4102]    saccade ->   fixation (ibdt:108)
[ 4103]    saccade ->   fixation (ibdt:108)
[ 4104]    saccade ->   fixation (ibdt:108)
[ 4164]    saccade ->   fixation (ibdt:108)
[ 4175]    saccade ->   fixation (ibdt:108)
[ 4176]    saccade ->   fixation (ibdt:108)
[ 4225]    saccade ->   fixation (ibdt:108)
[ 4226]    saccade ->   fixation (ibdt:108)
[ 4230]    saccade ->   fixation (ibdt:108)
[ 4231]    saccade ->   fixation (ibdt:108)
[ 4232]    saccade ->   fixation (ibdt:108)
[ 4233]    pursuit ->   fixation (ibdt:108)
[ 4234]    pursuit ->   fixation (ibdt:108)
[ 4235]    pursuit ->   fixation (ibdt:108)
[ 4236]    pursuit ->   fixation (ibdt:108)
[ 4237]    pursuit ->   fixation (ibdt:108)
[ 4238]    pursuit ->   fixation (ibdt:108)
[ 4239]    pursuit ->   fixation (ibdt:108)
[ 4240]    pursuit ->   fixation (ibdt:108)
[ 4241]    pursuit ->   fixation (ibdt:108)
[ 4242]    pursuit ->   fixation (ibdt:108)
[ 4243]    pursuit ->   fixation (ibdt:108)
[ 4244]    pursuit ->   fixation (ibdt:108)
[ 4245]    pursuit ->   fixation (ibdt:108)
[ 4246]    pursuit ->   fixation (ibdt:108)
[ 4247]    pursuit ->   fixation (ibdt:108)
[ 4248]    pursuit ->   fixation (ibdt:108)
[ 4249]    pursuit ->   fixation (ibdt:108)
[ 4250]    pursuit ->   fixation (ibdt:108)
[ 4251]    pursuit ->   fixation (ibdt:108)
[ 4252]    pursuit ->   fixation (ibdt:108)
[ 4253]    pursuit ->   fixation (ibdt:108)
[ 4254]    pursuit ->   fixation (ibdt:108)
[ 4255]    pursuit ->   fixation (ibdt:108)
[ 4256]    pursuit ->   fixation (ibdt:108)
[ 4257]    pursuit ->   fixation (ibdt:108)
[ 4258]    pursuit ->   fixation (ibdt:108)
[ 4259]    pursuit ->   fixation (ibdt:108)
[ 4260]    pursuit ->   fixation (ibdt:108)
[ 4261]    pursuit ->   fixation (ibdt:108)
[ 4262]    pursuit ->   fixation (ibdt:108)
[ 4263]    pursuit ->   fixation (ibdt:108)
[ 4264]    pursuit ->   fixation (ibdt:108)
[ 4265]    pursuit ->   fixation (ibdt:108)
[ 4266]    pursuit ->   fixation (ibdt:108)
[ 4267]    pursuit ->   fixation (ibdt:108)
[ 4268]    pursuit ->   fixation (ibdt:108)
[ 4269]    pursuit ->   fixation (ibdt:108)
[ 4270]    pursuit ->   fixation (ibdt:108)
[ 4271]    pursuit ->   fixation (ibdt:108)
[ 4272]    pursuit ->   fixation (ibdt:108)
[ 4273]    pursuit ->   fixation (ibdt:108)
[ 4274]    pursuit ->   fixation (ibdt:108)
[ 4275]    pursuit ->   fixation (ibdt:108)
[ 4276]    pursuit ->   fixation (ibdt:108)
[ 4277]    saccade ->   fixation (ibdt:108)
[ 4278]    saccade ->   fixation (ibdt:108)
[ 4284]    saccade ->   fixation (ibdt:108)
[ 4285]    saccade ->   fixation (ibdt:108)
